Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;24/2/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;;
Colombia;COL;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0.107;0.188;0.33;0.551;1.13;1.7;220.753;28.542;4.6;738.892;911.869;110.073;153.417;21.8;25.6;30;36.5;403.509;48.98;51.7;525.681;55.905;581.365;622.599;641.264;650.069;697.953;730.284;727.964;773.369;;;;
Comoros;COM;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0.0379;0.148;0.271741;0.443068;0.55487;0.848189;132.733;2;2.2;2.5;3;3.5;5.1;5.5;59.753;6.5;6.98;745.916;793.832;847.817;;163.838;224.204;306.812;327.685;356.678;;;;
Cabo Verde;CPV;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.241;0.473;1.16;182.244;268.533;351.876;432.489;531.883;607.409;680.891;828.322;14;21;30;32;34.74;37.5;40.26;42.683;503.228;571.621;59.5;619.434;693.734;702.825;727.601;73.539;;;;
Costa Rica;CRI;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.00111;0.0815;0.28;0.417;0.841;1.64;2.67;3.9;580.025;955.948;198.949;203.336;207.923;22.07;25.1;28.4;32.29;34.33;36.5;392.122;47.5;45.96;53;59.763;658.804;715.817;734.797;812.026;805.302;82.749;82.598;853.951;;;;
Caribbean small states;CSS;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;CUB;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;9.17E-05;0.0319;0.0682;0.227;0.315;0.541183;107.975;377.059;524.127;840.798;973.806;111.596;11.69;12.94;14.33;15.9;160.173;21.2;27.93;290.702;373.051;429.787;571.484;626.789;679.708;711.191;676.435;68.25;71.275;;;;
Curacao;CUW;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;618.555;681.272;;;;;;;;;;
Cayman Islands;CYM;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;0;3.95;;;;;;;;;;380.344;44.5;52;61;64.5;66;694.659;69.7;71.4;74.1;77;79;810.677;;;;;;;;;;
Cyprus;CYP;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.0501;0.0564;0.111;0.41;0.673;4.38;8.89;11.3;152.554;188.188;28.32;30.09;33.83;32.81;35.83;40.77;42.31;49.81;52.99;568.599;606.899;654.548;693.287;717.157;759.002;807.432;844.336;860.636;908.019;907.595;89.601;912.211;;;;
Czechia;CZE;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0.581;1.26;1.45;1.94;2.92;3.9;6.83;978.053;146.972;23.93;34.3;35.5;35.27;47.93;51.93;62.97;64.43;68.82;70.49;73.43;741.104;742.317;756.688;764.812;787.192;806.882;808.669;813.389;826.706;845.401;85.994;876.878;;;
